victim_id,victim_name,gender,age,occupation,marital_status,income_group
V00001,Person_1,Female,42,Doctor,Married,Middle
V00002,Person_2,Male,68,Teacher,Single,Low
V00003,Person_3,Male,70,Teacher,Single,High
V00004,Person_4,Male,38,Engineer,Single,Low
V00005,Person_5,Male,64,Student,Married,Middle
V00006,Person_6,Male,62,Student,Married,High
V00007,Person_7,Male,22,Employee,Single,Middle
V00008,Person_8,Male,27,Business,Married,Middle
V00009,Person_9,Female,69,Engineer,Single,Low
V00010,Person_10,Male,36,Engineer,Single,Middle
V00011,Person_11,Female,60,Business,Single,Middle
V00012,Person_12,Female,70,Lawyer,Married,Low
V00013,Person_13,Female,73,Teacher,Married,Low
V00014,Person_14,Male,44,Doctor,Married,Middle
V00015,Person_15,Male,25,Student,Single,Low
V00016,Person_16,Female,48,Doctor,Married,Low
V00017,Person_17,Female,74,Business,Married,Low
V00018,Person_18,Female,46,Doctor,Single,Low
V00019,Person_19,Male,44,Teacher,Single,Middle
V00020,Person_20,Male,57,Student,Married,Middle
V00021,Person_21,Female,71,Engineer,Married,Low
V00022,Person_22,Male,65,Doctor,Single,Middle
V00023,Person_23,Female,69,Employee,Single,Middle
V00024,Person_24,Male,67,Lawyer,Married,Middle
V00025,Person_25,Female,55,Employee,Single,Middle
V00026,Person_26,Female,33,Employee,Married,Low
V00027,Person_27,Female,63,Student,Married,High
V00028,Person_28,Male,56,Engineer,Married,Low
V00029,Person_29,Female,28,Employee,Single,Middle
V00030,Person_30,Female,20,Doctor,Single,Low
V00031,Person_31,Female,51,Employee,Married,High
V00032,Person_32,Female,48,Doctor,Married,Middle
V00033,Person_33,Male,19,Engineer,Single,Middle
V00034,Person_34,Female,52,Business,Married,Low
V00035,Person_35,Female,29,Doctor,Married,Low
V00036,Person_36,Male,53,Business,Married,Low
V00037,Person_37,Male,43,Employee,Married,Middle
V00038,Person_38,Female,60,Student,Married,Low
V00039,Person_39,Female,32,Lawyer,Single,Middle
V00040,Person_40,Female,55,Business,Single,Middle
V00041,Person_41,Female,36,Business,Single,Middle
V00042,Person_42,Female,35,Teacher,Married,Middle
V00043,Person_43,Female,74,Employee,Single,Low
V00044,Person_44,Male,74,Lawyer,Single,Middle
V00045,Person_45,Female,55,Student,Single,Middle
V00046,Person_46,Male,69,Lawyer,Married,Low
V00047,Person_47,Male,52,Doctor,Single,Middle
V00048,Person_48,Female,43,Business,Single,Middle
V00049,Person_49,Male,61,Lawyer,Single,Low
V00050,Person_50,Female,68,Business,Married,High
V00051,Person_51,Female,41,Employee,Single,Low
V00052,Person_52,Male,53,Business,Married,Middle
V00053,Person_53,Female,54,Teacher,Married,Middle
V00054,Person_54,Male,38,Employee,Married,High
V00055,Person_55,Female,53,Employee,Single,Middle
V00056,Person_56,Female,39,Lawyer,Single,Low
V00057,Person_57,Female,27,Employee,Single,High
V00058,Person_58,Female,28,Doctor,Married,Low
V00059,Person_59,Male,19,Business,Single,Middle
V00060,Person_60,Male,69,Teacher,Single,Low
V00061,Person_61,Female,71,Engineer,Single,Low
V00062,Person_62,Female,55,Student,Married,Middle
V00063,Person_63,Male,73,Lawyer,Married,High
V00064,Person_64,Male,28,Engineer,Married,Middle
V00065,Person_65,Male,50,Teacher,Single,Middle
V00066,Person_66,Female,64,Engineer,Married,Low
V00067,Person_67,Male,42,Lawyer,Married,Middle
V00068,Person_68,Male,70,Doctor,Single,Low
V00069,Person_69,Male,60,Teacher,Single,Middle
V00070,Person_70,Female,23,Business,Single,Middle
V00071,Person_71,Female,63,Student,Single,Middle
V00072,Person_72,Male,71,Engineer,Single,Low
V00073,Person_73,Male,37,Doctor,Married,High
V00074,Person_74,Male,69,Employee,Married,Middle
V00075,Person_75,Male,24,Teacher,Married,Middle
V00076,Person_76,Female,70,Business,Married,Middle
V00077,Person_77,Male,29,Business,Married,Middle
V00078,Person_78,Female,24,Student,Married,Low
V00079,Person_79,Male,24,Doctor,Single,Low
V00080,Person_80,Male,53,Teacher,Single,Low
V00081,Person_81,Female,40,Engineer,Single,Middle
V00082,Person_82,Male,19,Teacher,Single,Low
V00083,Person_83,Male,37,Student,Single,Low
V00084,Person_84,Male,45,Doctor,Single,High
V00085,Person_85,Female,36,Business,Married,Middle
V00086,Person_86,Male,61,Business,Married,Low
V00087,Person_87,Female,69,Business,Single,Low
V00088,Person_88,Female,18,Employee,Single,Low
V00089,Person_89,Male,56,Business,Married,Middle
V00090,Person_90,Male,58,Engineer,Married,Middle
V00091,Person_91,Male,23,Student,Single,Low
V00092,Person_92,Female,51,Business,Single,High
V00093,Person_93,Male,45,Lawyer,Single,Middle
V00094,Person_94,Female,67,Engineer,Single,High
V00095,Person_95,Female,49,Teacher,Single,High
V00096,Person_96,Female,25,Student,Single,Middle
V00097,Person_97,Female,54,Student,Single,Middle
V00098,Person_98,Male,21,Business,Single,Middle
V00099,Person_99,Male,59,Teacher,Married,High
V00100,Person_100,Female,57,Teacher,Single,Middle
V00101,Person_101,Male,52,Engineer,Married,Middle
V00102,Person_102,Female,31,Doctor,Married,Middle
V00103,Person_103,Female,58,Engineer,Married,Low
V00104,Person_104,Male,37,Student,Single,Low
V00105,Person_105,Male,68,Lawyer,Married,Middle
V00106,Person_106,Female,18,Employee,Single,Middle
V00107,Person_107,Female,52,Business,Single,Low
V00108,Person_108,Male,39,Student,Married,Middle
V00109,Person_109,Male,28,Engineer,Married,Middle
V00110,Person_110,Female,62,Lawyer,Married,Low
V00111,Person_111,Female,42,Employee,Single,Low
V00112,Person_112,Male,31,Teacher,Married,Low
V00113,Person_113,Female,68,Engineer,Single,Middle
V00114,Person_114,Female,63,Doctor,Married,Low
V00115,Person_115,Male,45,Business,Single,High
V00116,Person_116,Female,35,Business,Single,Middle
V00117,Person_117,Male,61,Teacher,Single,Middle
V00118,Person_118,Female,36,Lawyer,Married,Middle
V00119,Person_119,Female,55,Business,Married,Low
V00120,Person_120,Male,70,Engineer,Married,Middle
V00121,Person_121,Female,29,Employee,Married,Low
V00122,Person_122,Male,61,Doctor,Married,Middle
V00123,Person_123,Male,18,Lawyer,Married,Middle
V00124,Person_124,Female,61,Lawyer,Single,Middle
V00125,Person_125,Female,30,Employee,Married,High
V00126,Person_126,Female,28,Doctor,Single,Low
V00127,Person_127,Male,36,Student,Single,Middle
